yreal,yimag,loss
-0.130236,0.738606,1.073847
-0.565041,1.65627,1.8256288
0.968583,-0.24869,1.3053008
0.130236,-0.738606,0.42954132
-0.126623,2.496791,4.2444534
-0.25192,2.235852,3.315202
-1.375,2.38157,5.5639853
0.1914,1.739502,2.1243498
0.375,-0.649519,0.6103625
-0.378569,2.471171,4.537324
1.274848,-1.541026,1.8590248
-0.187667,2.743589,5.634051
-2.522331,-1.095603,4.154922
1.752613,0.963507,2.0163403
0.374763,1.964575,2.5707083
2.385348,-0.748408,3.8606648
0.626631,-2.420193,2.2128062
0.130236,0.738606,0.51798904
0.22419,2.991611,6.8623443
-1.451599,0.377967,1.1605492
1.752613,-0.963507,1.3390559
-0.868263,2.34438,4.4671583
1.303351,1.167808,1.5940428
0.063662,-1.498648,1.3354385
0.316019,1.466333,0.5615869
1.984229,-0.250666,0.6747571
1.731351,-0.254802,0.061919384
0.312346,-2.732204,3.4326503
-0.667563,-2.924784,5.7984285
0.25192,2.235852,2.9178257
0.0,2.25,3.1230476
2.738606,-0.250071,6.7039075
0.559285,1.391834,0.5867972
-0.800174,1.556349,1.538976
-1.402852,1.759121,3.3551726
0.500672,2.193588,2.9959147
-0.130236,-0.738606,0.9841105
-1.082934,-1.037908,0.18334465
-2.297395,0.98589,3.8336
-2.679047,-0.620649,4.20404
-1.451599,-0.377967,1.0736421
2.70452,-0.49807,6.686972
2.02718,0.976238,3.026699
1.722417,-1.811982,3.2101316
0.375,0.649519,0.6125947
-0.063914,-1.748832,1.9736949
-1.759121,-1.402852,2.4530177
0.743128,2.123737,3.3263693
1.457937,1.369094,2.970398
-1.243587,0.12646,0.94593257
0.126623,-2.496791,2.5638912
2.569583,0.979665,6.874875
1.584534,0.742799,0.79569864
1.481971,-2.316519,4.4726944
2.966492,-0.447127,8.337784
0.911646,-1.493788,1.2289585
0.374763,-1.964575,1.744553
-2.282185,1.534319,4.9581466
-2.866718,-0.884266,5.3055015
1.478424,-0.253501,0.44298023
2.052005,1.830785,6.4283133
-0.765132,0.98847,0.50537544
-0.809017,-0.587785,0.24150315
-2.133206,-1.735492,4.1454573
3.0,0.0,8.430443
0.125581,1.996053,2.6359234
-1.197072,-1.905129,2.66815
0.434132,-1.17219,0.050730195
0.684433,1.610606,2.2370481
0.063662,1.498648,0.8819712
1.530265,-1.976939,3.0874445
-1.937166,0.49738,2.1454132
0.5,0.0,0.06698504
-0.851559,-1.809654,2.561146
0.378569,-2.471171,2.3428948
-1.152735,2.496738,5.8263392
-2.74715,-0.125165,4.278004
-0.125581,1.996053,3.0532675
1.25,0.0,1.5469446
-1.32241,-2.121611,3.6113057
-2.448825,-0.503246,3.2494442
-0.190527,1.487851,0.71524394
